Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2005,BRA,Brazil,92,3,"6,44","7,26","5,53","7,70","7,03","4,68","4.773,27","0,317","0,197","8,47","0,032","0,25","0,25","0,07630522088","0,06666666667","0,6017948634"
2015,CHL,Chile,21,1,"7,92","8,01","6,78","9,39","8,18","7,23","13.569,95","-0,075","0,093","9,52","0,022","-0,05","0,12",,,
2015,CHN,China,119,3,"6,23","5,14","5,25","8,25","6,29","6,22","8.016,45","0,050","0,069","8,99","0,070","0,09","0,38",,,
2015,FRA,France,38,1,"7,69","5,33","7,48","9,77","8,44","7,44","36.652,92","-0,149","0,091","10,51","0,011","0,09","0,23",,,
2015,DEU,Germany,16,1,"8,01","6,23","7,95","9,65","8,21","8,03","41.103,26","-0,144","0,105","10,62","0,015","0,09","0,24",,,
2015,HKG,"Hong Kong SAR, China",1,1,"8,97","8,60","7,95","9,55","9,34","9,39","42.432,16","0,053","0,014","10,66","0,024","-0,07","0,20",,,
2015,ISR,Israel,43,2,"7,61","6,50","5,98","9,69","8,39","7,49","36.206,52","-0,054","0,076","10,50","0,025","0,02","0,14",,,
2015,JPN,Japan,21,1,"7,92","5,67","7,71","9,68","8,32","8,22","34.960,64","-0,091","0,096","10,46","0,016","0,09","0,21",,,
2015,KOR,"Korea, Rep.",41,2,"7,66","6,93","6,50","9,78","7,69","7,40","28.732,23","-0,018","0,045","10,27","0,028","0,02","0,13",,,
2015,MEX,Mexico,70,2,"7,15","8,30","4,79","8,13","7,55","7,01","9.753,40","-0,119","0,081","9,19","0,033","0,00","0,14",,,
2015,TWN,Taiwan,28,1,"7,81","7,55","6,99","9,63","7,49","7,41","0,00","0,000","0,000","0,00","0,015","-0,11","0,16",,,
2015,THA,Thailand,88,3,"6,8","6,89","5,08","8,41","6,68","6,93","5.708,79","-0,020","0,052","8,65","0,031","-0,15","0,14",,,
2015,TUR,Turkey,79,2,"6,99","7,31","5,00","9,08","7,12","6,44","10.851,92","-0,097","0,072","9,29","0,061","-0,18","0,22",,,
2015,USA,United States,6,1,"8,31","7,24","7,75","9,86","7,81","8,89","56.762,73","0,030","0,003","10,95","0,027","-0,01","0,16",,,
2014,ARG,Argentina,157,4,"4,73","5,73","4,38","4,83","3,14","5,59","12.334,80","-0,057","0,149","9,42","-0,025","0,46","0,43",,,
2006,BRA,Brazil,94,3,"6,4","7,04","5,46","7,62","7,33","4,55","5.866,02","0,229","0,160","8,68","0,040","0,28","0,24","-0,05159547092","0,08333333333","0,2471084266"
2014,CHL,Chile,22,1,"7,91","8,04","6,85","8,89","8,43","7,32","14.666,34","-0,074","0,124","9,59","0,018","0,04","0,11",,,
2014,CHN,China,121,4,"6,21","5,09","5,13","8,20","6,38","6,24","7.636,07","0,088","0,060","8,94","0,074","0,42","0,18",,,
2014,FRA,France,34,1,"7,72","5,29","7,48","9,74","8,67","7,42","43.068,55","0,011","0,057","10,67","0,010","-0,01","0,16",,,
2014,DEU,Germany,16,1,"7,96","6,29","8,01","9,61","8,34","7,56","48.023,87","0,037","0,068","10,78","0,022","0,03","0,17",,,
2014,HKG,"Hong Kong SAR, China",1,1,"8,97","8,69","7,82","9,39","9,55","9,41","40.315,37","0,050","0,015","10,60","0,028","0,01","0,14",,,
2014,ISR,Israel,44,2,"7,6","6,56","5,70","9,62","8,56","7,56","38.259,68","0,036","0,063","10,55","0,039","0,07","0,09",,,
2014,JPN,Japan,26,1,"7,85","5,93","7,71","9,61","8,17","7,80","38.475,40","-0,059","0,108","10,56","0,003","0,07","0,20",,,
2014,KOR,"Korea, Rep.",40,1,"7,65","7,00","6,30","9,73","7,78","7,45","29.249,58","0,076","0,070","10,28","0,032","-0,05","0,10",,,
2014,MEX,Mexico,78,2,"7,1","8,11","4,87","8,11","7,57","6,84","11.076,13","0,019","0,064","9,31","0,028","0,00","0,13",,,
2014,TWN,Taiwan,32,1,"7,75","7,63","6,64","9,64","7,44","7,39","0,00","0,000","0,000","0,00","0,047","0,08","0,11",,,
2014,THA,Thailand,104,3,"6,54","7,36","4,73","7,02","6,69","6,91","5.822,38","-0,036","0,086","8,67","0,010","0,14","0,13",,,
2014,TUR,Turkey,84,3,"6,98","7,25","4,90","9,03","7,17","6,56","12.020,35","-0,039","0,079","9,39","0,049","0,23","0,20",,,
2014,USA,United States,7,1,"8,25","7,24","7,65","9,74","7,84","8,79","55.123,85","0,034","0,003","10,92","0,023","0,11","0,11",,,
2013,ARG,Argentina,150,4,"5,11","5,97","4,33","6,27","3,28","5,73","13.080,25","0,000","0,157","9,48","0,024","0,64","0,30",,,
2007,BRA,Brazil,93,3,"6,42","7,06","5,55","7,60","7,13","4,77","7.323,19","0,248","0,087","8,90","0,061","0,36","0,27","0,04571971239","0,1153846154","0,3214867382"
2013,CHL,Chile,16,1,"7,88","8,10","6,83","9,05","7,97","7,44","15.833,28","0,028","0,119","9,67","0,033","-0,15","0,14",,,
2013,CHN,China,119,4,"6,16","5,01","5,14","8,07","6,33","6,27","7.020,39","0,114","0,056","8,86","0,078","-0,07","0,18",,,
2013,FRA,France,39,1,"7,58","5,29","7,44","9,75","8,16","7,25","42.602,72","0,042","0,070","10,66","0,007","0,17","0,16",,,
2013,DEU,Germany,15,1,"7,92","6,31","7,99","9,59","7,99","7,72","46.298,92","0,056","0,086","10,74","0,004","0,23","0,14",,,
2013,HKG,"Hong Kong SAR, China",1,1,"8,93","8,78","7,75","9,40","9,35","9,39","38.403,78","0,046","0,040","10,56","0,031","0,03","0,16",,,
2013,ISR,Israel,43,2,"7,51","6,59","5,67","9,63","8,24","7,40","36.941,84","0,114","0,085","10,52","0,044","0,14","0,10",,,
2013,JPN,Japan,19,1,"7,86","5,85","7,63","9,84","8,02","7,96","40.898,65","-0,168","0,105","10,62","0,020","0,45","0,27",,,
