Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2002-04-01,13.256.000.000,13.872.000.000,13.032.000.000,13.085.000.000,13.085.000.000,0,,"-0,01282534892",,,,≥ -0.3 and < -0.5 ,,,TradeFreedom,"0,8118841149","0,5957509067","0,7204004129","0,3874908258",1,"-0,2284445817","-0,1310655215","0,5768365662"
2002-05-01,13.088.000.000,13.090.000.000,11.943.000.000,12.861.000.000,12.861.000.000,0,,"-0,01711883836",,,,≥ -0.1 and < -0.3,,,Regulation,"-0,1561813548","0,2612025504","-0,08767204037","-0,5134813078","-0,2284445817",1,"-0,2317072844","-0,3145689603"
2002-06-01,12.859.000.000,12.919.000.000,10.247.000.000,11.139.000.000,11.139.000.000,0,,"-0,1338931654",,,,"< -0,1",,,Return,"-0,1692232543","-0,2934552456","-0,2863539369","0,08783438921","-0,1310655215","-0,2317072844",1,"-0,07080469985"
2002-07-01,11.138.000.000,11.173.000.000,9.155.000.000,9.763.000.000,9.763.000.000,294019200,,"-0,1235299399",,,,,,,Risk,"0,4308284455","0,5187698392","0,5504406372","0,1265284404","0,5768365662","-0,3145689603","-0,07080469985",1
2002-08-01,9.782.000.000,10.763.000.000,9.017.000.000,10.382.000.000,10.382.000.000,0,,"0,06340264263",,,,,,,,,,,,,,,
2002-09-01,10.383.000.000,10.477.000.000,8.352.000.000,8.623.000.000,8.623.000.000,0,,"-0,1694278559",,,,,,,P-values,,,,,,,,
2002-10-01,8.642.000.000,10.598.000.000,8.225.000.000,10.168.000.000,10.168.000.000,0,,"0,1791719819",,,,,,,,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2002-11-01,10.172.000.000,10.519.000.000,9.569.000.000,10.509.000.000,10.509.000.000,0,,"0,03353658537",,,,,,,EFW_Index,0,"0,01879914589","0,00001800739414","0,0003396119346","0,000007879198403","0,4990057705","0,4633708527","0,05120505432"
2002-12-01,10.517.000.000,11.648.000.000,10.307.000.000,11.268.000.000,11.268.000.000,0,,"0,07222380816",,,,,,,GovSize,"0,01879914589",0,"0,00004073749874","0,3850568282","0,004375653811","0,25275673","0,196674325","0,01597055794"
2003-01-01,11.291.000.000,12.350.000.000,10.457.000.000,10.941.000.000,10.941.000.000,0,,"-0,02902023429",,,,,,,LegalSystem,"0,00001800739414","0,00004073749874",0,"0,2631268755","0,0002303061446","0,7055111901","0,2082322894","0,009720646429"
2003-02-01,10.943.000.000,11.067.000.000,9.968.000.000,10.281.000.000,10.281.000.000,0,,"-0,06032355361",,,,,,,SoundMoney,"0,0003396119346","0,3850568282","0,2631268755",0,"0,0826479783","0,01727513276","0,7049893741","0,5847042933"
2003-03-01,10.263.000.000,11.421.000.000,10.104.000.000,11.274.000.000,11.274.000.000,0,,"0,09658593522",,,,,,,TradeFreedom,"0,000007879198403","0,004375653811","0,0002303061446","0,0826479783",0,"0,3192434024","0,5711952027","0,006189866368"
2003-04-01,11.283.000.000,12.820.000.000,11.283.000.000,12.557.000.000,12.557.000.000,0,,"0,1138016676",,,,,,,Regulation,"0,4990057705","0,25275673","0,7055111901","0,01727513276","0,3192434024",0,"0,3121898081","0,1648867407"
2003-05-01,12.565.000.000,13.565.000.000,12.542.000.000,13.422.000.000,13.422.000.000,0,,"0,06888588039",,,,,,,Return,"0,4633708527","0,196674325","0,2082322894","0,7049893741","0,5711952027","0,3121898081",0,"0,7603794262"
2003-06-01,13.441.000.000,14.072.000.000,12.895.000.000,12.973.000.000,12.973.000.000,0,,"-0,0334525406",,,,,,,Risk,"0,05120505432","0,01597055794","0,009720646429","0,5847042933","0,006189866368","0,1648867407","0,7603794262",0
2003-07-01,12.967.000.000,13.947.000.000,12.893.000.000,13.572.000.000,13.572.000.000,0,,"0,04617282047",,,,,,,,,,,,,,,
2003-08-01,13.579.000.000,15.252.000.000,12.757.000.000,15.174.000.000,15.174.000.000,0,,"0,1180371353",,,,,,,,,,,,,,,
